dt_s,checkpoint_T,time_s,position_error_km,velocity_error_km_s,energy_error,angular_momentum_error,delta_r_km,delta_theta_rad,e_R_km,e_T_km,fraction_R,fraction_T,dominance_ratio,dominant_mode
60.0,1.0,5580.0,0.028783106907494877,3.259688716877306e-05,-2.529973584210042e-07,-1.2649865525928308e-07,-0.0017097716045100242,4.2389647472163006e-06,-0.0017098325015545426,0.028732276555555204,0.0035288385958503455,0.9964711614041498,16.804146914643653,phase
60.0,5.0,27780.0,0.3045920147279121,0.0003445382327356026,-1.2595523472791632e-06,-6.297755787095775e-07,-0.008534901709936094,4.491980695675579e-05,-0.008541740126470286,0.30447222223319564,0.0007864220493528636,0.9992135779506472,35.64522190152524,phase
60.0,10.0,55560.0,1.011579872263918,0.00114441615778988,-2.519120558857407e-06,-1.2595578998376131e-06,-0.017070287045498844,0.00014922051688870397,-0.017145750438956376,1.0114345560694322,0.00028728479270266,0.9997127152072972,58.99039296474188,phase
60.0,20.0,111060.0,3.6296202280705554,0.0041062756756416255,-5.035584069698212e-06,-2.517782526214487e-06,-0.034134856071432296,0.0005354670309998255,-0.03510658162195247,3.629450444343575,9.355235275471341e-05,0.9999064476472455,103.38376101175416,phase
60.0,50.0,277680.0,21.140314039792553,0.02391752925228537,-1.2590796135919886e-05,-6.295338620489959e-06,-0.08534112567849661,0.0031188929095833373,-0.1183078239463861,21.139982993366935,3.13187243091523e-05,0.9999686812756909,178.6862634118518,phase
60.0,100.0,555362.4318623783,82.49911690348131,0.09333838396482891,-2.518317817095631e-05,-1.2591351268376298e-05,-0.17068977358758275,0.012171558105819713,-0.6727506757839762,82.4963738377785,6.649816877511981e-05,0.9999335018312246,122.62547895866928,phase
30.0,1.0,5550.0,0.0015461074969679335,1.747783642576926e-06,-7.858120131889963e-09,-3.9290599134270844e-09,-5.329070791049162e-05,2.279665984872281e-07,-5.329088310693852e-05,0.0015451888149860945,0.001188027414273919,0.998811972585726,28.995368905510023,phase
30.0,5.0,27780.0,0.012756431244908436,1.4431974321912141e-05,-3.933308150144487e-08,-1.96665402779796e-08,-0.0002665322308530449,1.881585856011725e-06,-0.00026654422964827844,0.012753646234693723,0.0004365964346422813,0.9995634035653577,47.84814231965534,phase
30.0,10.0,55530.0,0.038055276684978,4.305018406251852e-05,-7.862369895580072e-08,-3.9311847264057e-08,-0.0005329707391865668,5.61386499953187e-06,-0.0005330775470299008,0.03805154283204667,0.00019622349803547932,0.9998037765019643,71.38087703009619,phase
30.0,20.0,111060.0,0.12632869569185465,0.0001429180303749513,-1.5724746968263871e-07,-7.862372546370226e-08,-0.0010659488316377974,1.8637010157362965e-05,-0.001067125983877678,0.12632418848874408,7.135548548190214e-05,0.9999286445145177,118.37795199186556,phase
30.0,50.0,277680.0,0.6926074364667125,0.0007835886253354591,-3.9316161080676127e-07,-1.965807474725613e-07,-0.0026649112269296893,0.00010218182859489389,-0.0027002969062553885,0.6926021725677802,1.5200180223213752e-05,0.9999847998197766,256.4911180556955,phase
30.0,100.0,555362.4318623783,2.641034662022011,0.0029879753373376937,-7.863247799149837e-07,-3.9316215817053944e-07,-0.005329828981302853,0.00038963955967119546,-0.005844353523560668,2.641028195520375,4.896939682160733e-06,0.9999951030603176,451.89398363282623,phase
15.0,1.0,5550.0,8.880447889939052e-05,1.0041644020626678e-07,-2.455235230173424e-10,-1.2276179283640853e-10,-1.6650719771860167e-06,1.3099297646590458e-08,-1.6650724940397374e-06,8.878886758024279e-05,0.0003515576500401363,0.9996484423499599,53.32432545614066,phase
15.0,5.0,27765.0,0.0006008788856762873,6.7973029895842e-07,-1.2282820409016097e-09,-6.141409968305846e-10,-8.326197530550417e-06,8.864100209393655e-08,-8.326224771568855e-06,0.000600821195725176,0.0001920093486430463,0.9998079906513572,72.16009802867323,phase
15.0,10.0,55530.0,0.0015940127814888679,1.8032689371776186e-06,-2.456562269403288e-09,-1.2282811537809452e-09,-1.6652510566927958e-05,2.3515689662190198e-07,-1.6652697411616964e-05,0.001593925793510725,0.00010914041043127405,0.9998908595895686,95.71577229276971,phase
15.0,20.0,111075.0,0.004757872302625639,5.382827408781024e-06,-4.913790414541419e-09,-2.456895180090656e-09,-3.330579602334183e-05,7.019269503416581e-07,-3.330746491796607e-05,0.004757755716813646,4.900694099411009e-05,0.9999509930590058,142.84352557397156,phase
15.0,50.0,277680.0,0.023665188659496923,2.677386730233516e-05,-1.2284121712166934e-08,-6.142060875479421e-09,-8.326367787958588e-05,3.4913782087642176e-06,-8.33049899338596e-05,0.023665042036054653,1.2391448904649805e-05,0.9999876085510953,284.0771249698683,phase
15.0,100.0,555362.4318623783,0.0865677449823139,9.793969768374397e-05,-2.456826674387965e-08,-1.2284133229321902e-08,-0.00016652753856760683,1.2771595152116788e-05,-0.00016708034127043542,0.08656758374520161,3.7251048219966915e-06,0.9999962748951781,518.1195051851357,phase
7.5,1.0,5550.0,5.305681584988755e-06,5.999901590289899e-09,-7.677930243257619e-12,-3.838952523718498e-12,-5.208949005464092e-08,7.8272321957229e-10,-5.2089298143945765e-08,5.305425881708994e-06,9.638615282602067e-05,0.9999036138471739,101.85251233464034,phase
7.5,5.0,27765.0,3.142731165494337e-05,3.555273548720541e-08,-3.837962260333365e-11,-1.9190003297323343e-11,-2.6019733923021704e-07,4.636461881091236e-09,-2.6019824802704784e-07,3.142623449808557e-05,6.854791845410936e-05,0.9999314520815463,120.7780403456782,phase
7.5,10.0,55537.5,7.511601965231964e-05,8.498314715211125e-08,-7.67732610994711e-11,-3.8386725636438423e-11,-5.204146873438731e-07,1.1081915829436184e-08,-5.204155651949164e-07,7.511421687035799e-05,4.799935717143838e-05,0.9999520006428284,144.33506969036316,phase
