budget_name,target_evals,method,dt,evals_per_step,total_steps,actual_force_evals,max_rel_energy_deviation,final_rel_energy_deviation,max_rel_angular_momentum_deviation,max_radial_deviation,final_radial_deviation,final_phase_error,final_state_error
Budget_1_55k_evals,55525,Yoshida 4,60.0,6,9257,55542,4.784049523789755e-10,7.007946401903248e-15,1.525782406874444e-14,0.1482505075418885,7.02765191817889e-06,0.012368136902182414,83.83239199395652
Budget_1_55k_evals,55525,RK4,40.0,4,13885,55540,3.3142120610249133e-06,-3.3142120610249133e-06,1.6571019114883044e-06,0.023243929804266372,0.02246415950685332,0.0016220817051362246,10.994695553265434
Budget_1_55k_evals,55525,Velocity Verlet,20.0,2,27769,55538,6.548473066331695e-08,1.4288961060156519e-11,1.063848283692273e-14,1.7349682524582022,0.000308962930830603,-0.10721155358316992,726.3466289613112
Budget_1_55k_evals,55525,Euler,10.0,1,55537,55537,0.7163699283967797,0.7163699283967797,0.8758826754524109,17874.167832361938,16084.705559514805,-463.3118842043782,24315.999398474047
Budget_2_111k_evals,111050,Yoshida 4,30.0,6,18513,111078,1.929118487117022e-12,6.017167772668652e-14,3.093558824947268e-14,0.009266424049201305,1.6024387150537223e-08,0.0007723444770135757,5.235056525307327
Budget_2_111k_evals,111050,RK4,20.0,4,27769,111076,1.035351182531159e-07,-1.035351182531159e-07,5.1767555004992006e-08,0.0007538520831076312,0.0007017772495601093,5.256302870293439e-05,0.3562800719528784
Budget_2_111k_evals,111050,Velocity Verlet,10.0,2,55537,111074,4.095147731123447e-09,1.8003172653165242e-14,3.569490951862232e-14,0.43378366408887814,4.099939360457938e-06,-0.026806805302840075,181.69475856743406
Budget_2_111k_evals,111050,Euler,5.0,1,111073,111073,0.6448804807998773,0.6448804807998773,0.6778412323158675,12614.109852958365,12468.195500519443,-408.90614440240495,13685.14160802428
Budget_3_222k_evals,222100,Yoshida 4,15.0,6,37025,222150,6.730045079069154e-14,5.775514448465091e-14,3.023568806283302e-14,0.0005791624571429566,1.2732925824820995e-09,4.8261498704960104e-05,0.3271229867979426
Budget_3_222k_evals,222100,RK4,10.0,4,55537,222148,3.2352241352917535e-09,-3.2352241352917535e-09,1.6176121109623132e-09,2.5290458324889187e-05,2.1928901333012618e-05,1.760454665600264e-06,0.011932599942611982
Budget_3_222k_evals,222100,Velocity Verlet,5.0,2,111073,222146,2.5601490208763997e-10,3.7093785265246505e-14,1.8897305039270638e-14,0.10844851811270928,8.041570254135877e-08,-0.006701943941493482,45.42660917479089
Budget_3_222k_evals,222100,Euler,2.5,1,222145,222145,0.559068476174426,0.559068476174426,0.5059115445024784,8628.141474801658,8479.124865305901,-343.7058507883151,18427.221643210858
Budget_4_444k_evals,444200,Yoshida 4,7.5,6,74049,444294,7.35834372199841e-14,6.258821096872211e-14,3.667476977991783e-14,3.619794279074995e-05,1.3733369996771216e-10,3.016175242009922e-06,0.020444057718280232
Budget_4_444k_evals,444200,RK4,5.0,4,111073,444292,1.0106787804827604e-10,-1.0106787804827604e-10,5.0534053295718916e-11,8.982433428172953e-07,6.853124432382174e-07,6.236132321646437e-08,0.0004226875443485558
Budget_4_444k_evals,444200,Velocity Verlet,2.5,2,222145,444290,1.6035752114161956e-11,2.6823518986595193e-14,2.0577065487205806e-14,0.02711229234773782,1.368789526168257e-09,-0.001675498718441304,11.356758489623317
Budget_4_444k_evals,444200,Euler,1.25,1,444290,444290,0.4594527342801905,0.4594527342801905,0.3601331816070201,5794.496967050355,5790.4674174095735,-270.9460019560496,9026.533934343672
