method,dt,evals_per_step,total_force_evals,max_rel_energy_deviation,final_rel_energy_deviation,max_rel_angular_momentum_deviation,max_radial_deviation,final_radial_deviation,final_phase_error,final_state_error,final_velocity_error
Euler,60.0,1,9257,0.8566447135311959,0.8566447135311959,1.454300537128039,57938.97591237966,55872.850976102374,-560.5918959462795,61782.183671176346,7.185634506071943
Euler,30.0,1,18513,0.8050438164582442,0.8050438164582442,1.2341574564980657,33626.06768331931,30841.366602619546,-528.5272090673159,32930.88411195755,5.382093176238549
Euler,15.0,1,37025,0.7517763071502991,0.7517763071502991,1.0024064803523083,22318.43085117814,20535.854265246584,-490.2061930360067,20598.175168966874,3.8580957715109507
Euler,7.5,1,74049,0.6884666354449356,0.6884666354449356,0.7907214279016344,15504.34242662758,15504.34242662758,-442.05196284833414,26967.083938011136,10.793623985793904
Euler,3.75,1,148097,0.6110448964170407,0.6110448964170407,0.6033265085860688,10811.306522495684,10594.540133451228,-383.0540790704594,10859.659079264893,3.1939855365781735
Euler,1.875,1,296194,0.5191936756097105,0.5191936756097105,0.44215059910896826,7367.738189834089,7317.232548337158,-314.1418162331831,7319.219957599451,2.3545404199746054
RK4,60.0,4,37028,2.5183178171439617e-05,-2.518317817095631e-05,1.2591351268516279e-05,0.17437440520370728,0.17068977358758275,0.012171558105819713,82.49911690348131,0.09333838396482891
RK4,30.0,4,74052,7.863247799149837e-07,-7.863247799149837e-07,3.9316215817053944e-07,0.00558493364496826,0.005329828981302853,0.00038963955967119546,2.641034662022011,0.0029879753373376937
RK4,15.0,4,148100,2.456826674387965e-08,-2.456826674387965e-08,1.2284133229321902e-08,0.00018327420366404112,0.00016652753856760683,1.2771595152116788e-05,0.0865677449823139,9.793969768374397e-05
RK4,7.5,4,296196,7.677372024078709e-10,-7.677372024078709e-10,3.8386851618472017e-10,6.276086423895322e-06,5.20378216606332e-06,4.364239885035204e-07,0.0029581624175165715,3.346760962000477e-06
RK4,3.75,4,592388,2.3989771280322142e-11,-2.398965045366004e-11,1.1994889398630378e-11,2.3058237275108695e-07,1.6246485756710172e-07,1.6073840924946126e-08,0.00010829734016622511,1.2252365443252018e-07
RK4,1.875,4,1184776,7.247183192864773e-13,-7.238725326517649e-13,3.6226833660468455e-13,9.484210750088096e-09,4.571120371110737e-09,-3.1946001399774104e-11,4.268087550556335e-06,4.828748603459058e-09
Velocity Verlet,60.0,2,18514,5.2719139046830295e-06,7.994518414648773e-08,5.179261381133434e-15,15.598857783002131,0.22918738265161664,-0.9634077182525971,6280.589909891661,7.103501981133746
Velocity Verlet,30.0,2,37026,3.3119883223089006e-07,3.3098071714873054e-10,8.258822202347909e-15,3.9030556186562535,0.0035546332537705894,-0.24116731796175372,1630.7069751547563,1.844788066763371
Velocity Verlet,15.0,2,74050,2.0726738526267678e-08,1.640463591355869e-12,8.678762314331701e-15,0.9759738433458551,5.373149542720057e-05,-0.0603116401528041,408.7386053441675,0.4624234156178553
Velocity Verlet,7.5,2,148098,1.295851693495464e-09,1.8848959287877702e-14,8.53878227700377e-15,0.24400672611955088,4.538078428595327e-07,-0.015079148283689392,102.20756463733473,0.11563336911475038
Velocity Verlet,3.75,2,296194,8.108169821669638e-11,7.370426388208589e-14,4.4093711758298155e-14,0.06100250537565444,5.271795089356601e-08,-0.0037698621075605843,25.552626728017103,0.028909302005949888
Velocity Verlet,1.875,2,592388,5.064691195320318e-12,-4.398090500504797e-14,3.3035288809391635e-14,0.015250677690346492,1.0631993063725531e-09,-0.0009424695801953931,6.38818767180863,0.0072273754587967275
Yoshida 4,60.0,6,55542,4.784049523789755e-10,7.007946401903248e-15,1.525782406874444e-14,0.1482505075418885,7.02765191817889e-06,0.012368136902182414,83.83239199395652,0.09484376382994213
Yoshida 4,30.0,6,111078,1.929118487117022e-12,6.017167772668652e-14,3.093558824947268e-14,0.009266424049201305,1.6024387150537223e-08,0.0007723444770135757,5.235056525307327,0.0059227492911217245
Yoshida 4,15.0,6,222150,6.730045079069154e-14,5.775514448465091e-14,3.023568806283302e-14,0.0005791624571429566,1.2732925824820995e-09,4.8261498704960104e-05,0.3271229867979426,0.0003700951169322837
Yoshida 4,7.5,6,444294,7.35834372199841e-14,6.258821096872211e-14,3.667476977991783e-14,3.619794279074995e-05,1.3733369996771216e-10,3.016175242009922e-06,0.020444057718280232,2.3129669516035634e-05
Yoshida 4,3.75,6,888582,1.0668994263587187e-13,7.902063701456421e-14,5.319241418461365e-14,2.2626945792580955e-06,5.820766091346741e-11,1.8847572391678113e-07,0.0012776696114128443,1.445510369364719e-06
Yoshida 4,1.875,6,1777164,2.2401263153670038e-13,1.3701743482341867e-13,1.1198402986234453e-13,1.417465682607144e-07,1.317857822868973e-09,1.1644374353636522e-08,7.934525391892402e-05,8.97686985429486e-08
